,station,x,y,salinity
0,anh,605075.10,4208474.70,3.42
1,cyg,579678.00,4223160.00,9.31
2,hun,582994.82,4223547.67,5.32
3,bdl,590134.70,4227040.10,7.18
4,msl,597578.30,4216762.68,5.44
5,cll,600858.70,4214644.10,5.49
6,pct,585550.40,4212803.20,10.49
7,flt,579121.90,4214883.00,9.49
8,mrz,575432.50,4209227.70,14.87
9,pct,585550.40,4212803.20,10.49
10,mal,594757.50,4211123.30,5.88
11,pts,597238.30,4211183.70,5.69
12,emm,610598.80,4215917.60,1.06
13,jer,615024.30,4212414.20,0.81
14,frp,619475.50,4208005.70,0.35
15,bet,620980.00,4210523.00,0.27
16,hol2,624476.90,4208582.20,0.22
17,hll,624614.60,4207543.50,0.21
18,orq2,625994.60,4209807.90,0.16
19,holm,624631.50,4203880.00,0.19
20,bac,625406.50,4203423.60,0.18
21,ppt,627213.40,4213060.70,0.11
22,bdt,647500.80,4192114.60,0.34
23,dvi,649512.00,4179437.00,0.34
24,sjr,653005.80,4171637.90,0.36
25,uni,643018.60,4187320.10,0.32
26,old,636491.60,4185281.50,0.41
27,twa,635798.20,4185059.90,0.41
28,oad,628312.50,4185763.10,0.37
29,mtb,635780.80,4193802.00,0.35
30,mdmzq,628839.50,4200455.00,0.13
31,swe,629874.30,4233686.10,0.08
32,sus,622318.40,4234477.50,0.08
33,rvb,615105.00,4224350.00,0.09
34,srh,629247.70,4247651.00,0.08
35,god,580533.21,4219949.69,8.62
36,sal,623513.40,4218211.20,0.13
