datetime,anh,cyg,hun,bdl,msl,cll,pct,flt,mrz,mal,pts,emm,jer,frp,bet,hol2,hll,orq2,holm,bac,ppt,bdt,dvi,sjr,uni,old,twa,oad,mtb,mdmzq,swe,sus,srh,god,sal
2006-11-14 00:00:00,3.42,9.31,5.32,7.18,5.44,5.49,10.49,9.49,14.87,5.88,5.69,1.06,0.81,0.35,0.27,0.22,0.21,0.16,0.19,0.18,0.11,0.34,0.34,0.36,0.32,0.41,0.41,0.37,0.35,0.13,0.08,0.08,0.08,8.62,0.13
2006-11-14 01:00:00,3.16,9.16,5.32,7.03,5.40,4.73,10.44,9.82,14.09,5.88,6.15,0.73,0.77,0.35,0.26,0.22,0.17,0.17,0.19,0.17,0.11,0.34,0.34,0.35,0.32,0.44,0.40,0.38,0.34,0.13,0.08,0.08,0.08,8.72,0.12
2006-11-14 02:00:00,2.77,9.06,5.35,6.83,5.25,2.79,9.86,9.79,13.02,5.87,4.80,0.59,0.59,0.34,0.26,0.18,0.18,0.17,0.18,0.17,0.11,0.34,0.34,0.35,0.32,0.47,0.40,0.38,0.34,0.13,0.08,0.08,0.08,8.81,0.10
2006-11-14 03:00:00,2.09,8.94,5.35,6.67,4.87,2.74,9.66,9.70,12.19,5.87,4.01,0.35,0.43,0.33,0.25,0.19,0.19,0.15,0.19,0.17,0.11,0.34,0.34,0.35,0.32,0.47,0.40,0.38,0.34,0.13,0.08,0.08,0.08,8.84,0.09
2006-11-14 04:00:00,1.54,8.88,5.35,6.49,4.46,2.64,8.92,9.74,11.31,5.87,3.53,0.37,0.38,0.31,0.25,0.19,0.18,0.15,0.19,0.17,0.11,0.34,0.34,0.35,0.32,0.46,0.41,0.38,0.34,0.13,0.08,0.08,0.08,8.74,0.08
2006-11-14 05:00:00,1.21,8.84,5.35,6.52,3.94,2.02,8.64,9.63,11.05,5.87,3.24,0.33,0.33,0.30,0.25,0.19,0.18,0.15,0.19,0.17,0.11,0.34,0.34,0.35,0.32,0.45,0.43,0.37,0.34,0.13,0.08,0.08,0.08,8.74,0.08
2006-11-14 06:00:00,1.04,8.97,5.36,6.58,3.23,1.78,7.47,9.62,11.79,5.87,2.44,0.25,0.31,0.29,0.25,0.19,0.18,0.14,0.19,0.17,0.11,0.34,0.34,0.35,0.32,0.45,0.44,0.37,0.34,0.13,0.08,0.08,0.08,8.77,0.08
2006-11-14 07:00:00,1.08,9.10,5.38,6.76,2.95,1.73,8.09,9.50,11.68,5.87,2.66,0.19,0.31,0.29,0.25,0.19,0.18,0.14,0.19,0.18,0.11,0.34,0.34,0.35,0.32,0.45,0.43,0.38,0.34,0.13,0.08,0.08,0.08,8.63,0.08
2006-11-14 08:00:00,1.01,9.27,5.44,6.97,3.02,2.07,7.89,9.42,12.09,5.87,3.22,0.18,0.32,0.29,0.25,0.19,0.18,0.15,0.19,0.18,0.11,0.34,0.34,0.35,0.32,0.45,0.44,0.38,0.34,0.13,0.08,0.08,0.08,9.02,0.09
2006-11-14 09:00:00,1.46,9.58,5.52,7.16,3.21,3.36,9.73,9.45,12.85,5.87,4.34,0.19,0.33,0.30,0.25,0.19,0.18,0.15,0.18,0.18,0.11,0.34,0.34,0.34,0.32,0.45,0.44,0.37,0.34,0.14,0.08,0.08,0.09,9.04,0.09
2006-11-14 10:00:00,1.98,9.64,5.57,7.35,4.15,3.74,11.07,10.39,18.57,5.88,4.62,0.20,0.38,0.32,0.25,0.20,0.18,0.16,0.18,0.18,0.11,0.34,0.34,0.34,0.32,0.45,0.44,0.38,0.35,0.14,0.08,0.08,0.09,9.09,0.10
2006-11-14 11:00:00,2.41,9.69,5.64,7.46,5.24,4.85,12.53,9.57,19.85,5.88,4.91,0.67,0.45,0.34,0.26,0.22,0.19,0.17,0.18,0.18,0.11,0.34,0.34,0.34,0.32,0.45,0.44,0.38,0.35,0.13,0.08,0.08,0.09,9.24,0.11
2006-11-14 12:00:00,2.92,9.68,5.65,7.39,5.77,5.86,11.69,9.54,17.43,5.88,5.61,1.15,0.58,0.36,0.26,0.23,0.21,0.17,0.18,0.18,0.11,0.34,0.34,0.34,0.32,0.44,0.45,0.38,0.35,0.13,0.08,0.08,0.09,9.12,0.11
2006-11-14 13:00:00,3.20,9.48,5.66,-9999.00,5.94,6.29,11.23,9.28,18.37,0.07,5.40,1.12,0.82,0.38,0.28,0.24,0.22,0.17,0.19,0.18,0.11,0.34,0.34,0.34,0.32,0.42,0.45,0.38,0.36,0.13,0.08,0.08,0.09,9.13,0.12
2006-11-14 14:00:00,3.19,9.21,5.67,-9999.00,5.98,6.18,11.42,9.62,16.95,0.07,6.13,1.13,0.86,0.39,0.28,0.24,0.22,0.17,0.19,0.18,0.11,0.34,0.34,0.34,0.32,0.40,0.45,0.38,0.35,0.13,0.08,0.08,0.09,8.98,0.13
2006-11-14 15:00:00,2.94,9.10,5.66,-9999.00,5.93,5.62,7.82,10.02,15.60,0.06,5.23,0.49,0.75,0.37,0.28,0.24,0.19,0.17,0.19,0.18,0.11,0.34,0.34,0.34,0.32,0.39,0.44,0.37,0.34,0.13,0.08,0.08,0.09,8.77,0.11
2006-11-14 16:00:00,2.55,8.99,5.65,-9999.00,5.75,4.20,6.88,10.21,13.80,0.06,4.59,0.36,0.59,0.35,0.27,0.18,0.20,0.17,0.19,0.18,0.11,0.34,0.34,0.34,0.32,0.38,0.42,0.38,0.34,0.13,0.08,0.08,0.09,8.81,0.11
2006-11-14 17:00:00,1.92,8.88,5.62,-9999.00,5.30,3.99,7.69,10.11,13.30,5.85,4.23,0.21,0.43,0.33,0.26,0.20,0.19,0.16,0.18,0.18,0.11,0.34,0.33,0.33,0.32,0.39,0.40,0.38,0.35,0.14,0.08,0.08,0.09,8.81,0.10
