site,x,y
anh,605075.10,4208474.70
ibs,577650.90,4223639.00
cyg,579678.00,4223160.00
hun,582994.82,4223547.67
bdl,590134.70,4227040.10
msl,597578.30,4216762.68
cse,600859.10,4214643.60
flt,579121.90,4214883.00
mrz,575432.50,4209227.70
mal,594757.50,4211123.30
sdi,610748.90,4216702.80
blp,612410.90,4210203.70
sjj,615029.00,4212420.90
dsj,616676.60,4208098.20
bet,620980.00,4210523.00
hol2,624476.90,4208582.20
orq2,625994.60,4209807.90
holm,624631.50,4203880.00
bac,625406.50,4203423.60
mdm,628839.50,4200455.00
ori,627377.40,4187715.20
oh4,625718.90,4194688.90
mab,634300.20,4194175.00
pri,626573.00,4213393.10
ppt,627213.40,4213060.70
trn,635762.30,4206110.60
rri,643575.20,4202944.90
sjg,646735.20,4199969.70
bdt,647500.80,4192114.60
dvi,649550.00,4179456.00
sjr,653005.80,4171637.90
orx,642021.80,4186071.20
sga,638981.80,4184006.20
gle,637754.40,4187026.50
old,636491.60,4185281.50
twa,635798.20,4185059.90
orm,630537.00,4183977.00
oad,628312.50,4185763.10
glc2,627753.00,4186838.80
wci,627243.20,4188117.20
mtb,635780.80,4193802.00
mdmzq,628839.50,4200455.00
sdc,629664.20,4235427.10
ges,629219.10,4233351.80
swe,629874.30,4233686.10
gss,629727.30,4233179.30
nmr,630666.90,4231648.10
sus,622318.40,4234477.50
sss,623598.20,4238356.20
sut,624348.30,4243212.40
rvb,615105.00,4224350.00
dws,616657.30,4235072.20
lib,615115.00,4233613.00
ucs,612908.60,4237177.10
srh,629247.70,4247651.00
awb,640504.00,4269986.00
afo,654346.14,4277827.00
von,621783.20,4292647.40
wlk,601759.47,4318532.21
gys,579253.00,4219416.00
snc,580303.50,4226742.30
