,station,x,y,temperature
0,anh,605075.10,4208474.70,13.20
1,ibs,577650.90,4223639.00,14.10
2,cyg,579678.00,4223160.00,14.50
3,fmb,584692.10,4227881.30,13.40
4,gzl,584309.02,4220037.89,12.71
5,ryc,588041.60,4215616.30,12.68
6,hon,593045.10,4214379.20,12.53
7,flt,579121.90,4214883.00,13.10
8,mrz,575432.50,4209227.70,12.63
9,mal,594757.50,4211123.30,12.72
10,ssi,608608.20,4214765.60,12.92
11,sdi,610748.90,4216702.80,13.60
12,blp,612410.90,4210203.70,13.00
13,sjj,615029.00,4212420.90,13.10
14,dsj,616676.60,4208098.20,13.80
15,hol2,624476.90,4208582.20,13.70
16,orq2,625994.60,4209807.90,13.50
17,frk,623008.40,4211892.70,13.09
18,holm,624631.50,4203880.00,13.80
19,bac,625406.50,4203423.60,13.20
20,mdm,628839.50,4200455.00,13.60
21,ori,627377.40,4187715.20,16.00
22,oh4,625718.90,4194688.90,13.90
23,mab,634300.20,4194175.00,14.40
24,pri,626573.00,4213393.10,13.10
25,ppt,627213.40,4213060.70,12.94
26,trn,635762.30,4206110.60,13.60
27,rri,643575.20,4202944.90,15.00
28,sjg,646735.20,4199969.70,15.80
29,bdt,647500.80,4192114.60,16.30
30,dvi,649550.00,4179456.00,16.10
31,sjr,653005.80,4171637.90,15.87
32,orx,642021.80,4186071.20,16.40
33,pdup,643229.00,4184985.00,15.00
34,sga,638981.80,4184006.20,15.70
35,gle,637754.40,4187026.50,16.20
36,old,636491.60,4185281.50,15.50
37,twa,635798.20,4185059.90,15.40
38,orm,630537.00,4183977.00,15.10
39,oad,628312.50,4185763.10,15.10
40,glc2,627753.00,4186838.80,16.00
41,wci,627243.20,4188117.20,15.90
42,mab,634300.20,4194175.00,14.40
43,mtb,635780.80,4193802.00,14.50
44,mdmzq,628839.50,4200455.00,13.20
45,sdc,629664.20,4235427.10,14.10
46,ges,629219.10,4233351.80,14.10
47,swe,629874.30,4233686.10,14.00
48,gss,629727.30,4233179.30,14.10
49,sus,622318.40,4234477.50,14.00
50,rvb,615105.00,4224350.00,13.77
51,mir,616742.90,4232844.40,14.20
52,dws,616657.30,4235072.20,13.40
53,lib,615115.00,4233613.00,14.00
54,srh,629247.70,4247651.00,14.18
55,awb,640504.00,4269986.00,11.60
56,afo,654346.14,4277827.00,10.70
57,wlk,601759.47,4318532.21,15.20
58,gys,579253.00,4219416.00,14.10
