,/HIST+GATE/MTZSL/RADIAL_OP//IR-DECADE/DWR-ESO/,/HIST+GATE/MTZSL/FLASHBOARD_OP//IR-DECADE/DWR-ESO/,/HIST+GATE/MTZSL/BOATLOCK_OP//IR-DECADE/DWR-ESO/
1999-09-01,-10.0,0.2,1.0
1999-09-02,-10.0,0.0,1.0
1999-10-10,-10.0,0.0,1.0
1999-10-11,1.0,0.0,1.0
1999-10-14,1.0,0.0,1.0
1999-10-15,1.0,1.0,0.0
1999-11-09,1.0,1.0,0.0
1999-11-10,1.0,0.2,1.0
1999-11-20,1.0,0.2,1.0
1999-11-21,-10.0,0.2,1.0
1999-11-22,-10.0,0.0,1.0
2000-01-25,-10.0,0.0,1.0
2000-01-26,1.0,0.0,1.0
2000-01-27,1.0,0.2,1.0
2000-02-22,1.0,0.2,1.0
2000-02-23,-10.0,0.2,1.0
2000-02-24,-10.0,0.0,1.0
2000-03-25,-10.0,0.0,1.0
2000-03-26,1.0,0.0,1.0
2000-03-27,1.0,0.2,1.0
2000-03-28,1.0,1.0,0.0
2000-08-02,1.0,1.0,0.0
2000-08-03,-10.0,1.0,0.0
2000-08-04,-10.0,0.0,1.0
2000-10-04,-10.0,0.0,1.0
2000-10-05,1.0,0.0,1.0
2000-10-06,1.0,1.0,0.0
2000-11-03,1.0,1.0,0.0
2000-11-04,1.0,0.0,1.0
2000-11-06,1.0,0.0,1.0
2000-11-07,-10.0,0.0,1.0
2000-11-19,-10.0,0.0,1.0
2000-11-20,1.0,0.0,1.0
2001-05-13,1.0,0.0,1.0
2001-05-14,1.0,1.0,0.0
2001-09-17,1.0,1.0,0.0
2001-09-18,-10.0,1.0,0.0
2001-09-19,-10.0,0.0,1.0
2001-10-13,-10.0,0.0,1.0
2001-10-14,1.0,0.0,1.0
2002-05-05,1.0,0.0,1.0
2002-05-06,1.0,1.0,0.0
2002-07-08,1.0,1.0,0.0
2002-07-09,-10.0,1.0,0.0
2002-07-10,-10.0,0.0,1.0
2002-08-27,-10.0,0.0,1.0
2002-08-28,1.0,0.0,1.0
2002-08-29,1.0,1.0,0.0
2002-09-24,1.0,1.0,0.0
2002-09-25,1.0,0.0,1.0
2002-12-11,1.0,0.0,1.0
2002-12-12,-10.0,0.0,1.0
2002-12-22,-10.0,0.0,1.0
2002-12-23,1.0,0.0,1.0
2003-05-15,1.0,0.0,1.0
2003-05-16,1.0,1.0,0.0
2003-05-17,1.0,1.0,0.0
2003-05-18,-10.0,1.0,0.0
2003-05-19,-10.0,0.0,1.0
2003-06-15,-10.0,0.0,1.0
2003-06-16,1.0,0.0,1.0
2003-06-17,1.0,1.0,0.0
2003-08-30,1.0,1.0,0.0
2003-08-31,-10.0,1.0,0.0
2003-09-01,-10.0,0.0,1.0
2003-09-06,-10.0,0.0,1.0
2003-09-07,1.0,0.0,1.0
2003-09-08,1.0,1.0,0.0
2003-09-10,1.0,1.0,0.0
2003-09-11,-10.0,1.0,0.0
2003-09-12,-10.0,0.0,1.0
