,radial_op,radial_up,radial_down,flashboard,boat_lock
1979-12-01 00:01:00,-901.0,0.0,0.0,0.0,0.0
1979-12-02 00:01:00,-10.0,0.0,1.0,0.0,1.0
1980-03-29 00:01:00,-10.0,0.0,1.0,0.0,1.0
1980-03-30 00:01:00,1.0,1.0,1.0,0.0,1.0
1980-04-14 00:01:00,1.0,1.0,1.0,0.0,1.0
1980-04-15 00:01:00,-10.0,0.0,1.0,0.0,1.0
1981-01-04 00:01:00,-10.0,0.0,1.0,0.0,1.0
1981-01-05 00:01:00,1.0,1.0,1.0,0.0,1.0
1981-03-05 00:01:00,1.0,1.0,1.0,0.0,1.0
1981-03-06 00:01:00,-10.0,0.0,1.0,0.0,1.0
1981-03-24 00:01:00,-10.0,0.0,1.0,0.0,1.0
1981-03-25 00:01:00,1.0,1.0,1.0,0.0,1.0
1982-04-30 00:01:00,1.0,1.0,1.0,0.0,1.0
1982-05-01 00:01:00,-10.0,0.0,1.0,0.0,1.0
1982-07-31 00:01:00,-10.0,0.0,1.0,0.0,1.0
1982-08-01 00:01:00,1.0,1.0,1.0,0.0,1.0
1982-10-02 00:01:00,1.0,1.0,1.0,0.0,1.0
1982-10-03 00:01:00,-10.0,0.0,1.0,0.0,1.0
1982-10-17 00:01:00,-10.0,0.0,1.0,0.0,1.0
1982-10-18 00:01:00,1.0,1.0,1.0,0.0,1.0
1983-05-27 00:01:00,1.0,1.0,1.0,0.0,1.0
1983-05-28 00:01:00,-10.0,0.0,1.0,0.0,1.0
1983-08-07 00:01:00,-10.0,0.0,1.0,0.0,1.0
1983-08-08 00:01:00,1.0,1.0,1.0,0.0,1.0
1983-08-17 00:01:00,1.0,1.0,1.0,0.0,1.0
1983-08-18 00:01:00,-10.0,0.0,1.0,0.0,1.0
1984-05-05 00:01:00,-10.0,0.0,1.0,0.0,1.0
1984-05-06 00:01:00,1.0,1.0,1.0,0.0,1.0
1984-06-22 00:01:00,1.0,1.0,1.0,0.0,1.0
1984-06-23 00:01:00,-10.0,0.0,1.0,0.0,1.0
1984-12-04 00:01:00,-10.0,0.0,1.0,0.0,1.0
1984-12-05 00:01:00,1.0,1.0,1.0,0.0,1.0
1985-02-02 00:01:00,1.0,1.0,1.0,0.0,1.0
1985-02-03 00:01:00,-10.0,0.0,1.0,0.0,1.0
1986-05-12 00:01:00,-10.0,0.0,1.0,0.0,1.0
1986-05-13 00:01:00,1.0,1.0,1.0,0.0,1.0
1986-08-03 00:01:00,1.0,1.0,1.0,0.0,1.0
1986-08-04 00:01:00,-10.0,0.0,1.0,0.0,1.0
1986-08-26 00:01:00,-10.0,0.0,1.0,0.0,1.0
1986-08-27 00:01:00,1.0,1.0,1.0,0.0,1.0
1986-08-30 00:01:00,1.0,1.0,1.0,0.0,1.0
1986-08-31 00:01:00,-10.0,0.0,1.0,0.0,1.0
1986-09-09 00:01:00,-10.0,0.0,1.0,0.0,1.0
1986-09-10 00:01:00,1.0,1.0,1.0,0.0,1.0
1986-11-06 00:01:00,1.0,1.0,1.0,0.0,1.0
1986-11-07 00:01:00,-10.0,0.0,1.0,0.0,1.0
1987-01-25 00:01:00,-10.0,0.0,1.0,0.0,1.0
1987-01-26 00:01:00,1.0,1.0,1.0,0.0,1.0
1988-02-24 00:01:00,1.0,1.0,1.0,0.0,1.0
1988-02-25 00:01:00,-10.0,0.0,1.0,0.0,1.0
1988-04-19 00:01:00,-10.0,0.0,1.0,0.0,1.0
1988-04-20 00:01:00,1.0,1.0,1.0,0.0,1.0
1988-11-26 00:01:00,1.0,1.0,1.0,0.0,1.0
1988-11-27 00:01:00,-10.0,0.0,1.0,0.0,1.0
1988-12-28 00:01:00,-10.0,0.0,1.0,0.0,1.0
1988-12-29 00:01:00,1.0,1.0,1.0,0.0,1.0
1989-02-07 00:01:00,1.0,1.0,1.0,0.0,1.0
1989-02-08 00:01:00,-10.0,0.0,1.0,0.0,1.0
1990-01-17 00:01:00,-10.0,0.0,1.0,0.0,1.0
1990-01-18 00:01:00,1.0,1.0,1.0,0.0,1.0
1990-03-05 00:01:00,1.0,1.0,1.0,0.0,1.0
1990-03-06 00:01:00,-10.0,0.0,1.0,0.0,1.0
1990-06-24 00:01:00,-10.0,0.0,1.0,0.0,1.0
1990-06-25 00:01:00,1.0,1.0,1.0,1.0,0.0
1990-07-22 00:01:00,1.0,1.0,1.0,1.0,0.0
1990-07-23 00:01:00,-10.0,0.0,1.0,0.0,1.0
1990-08-03 00:01:00,-10.0,0.0,1.0,0.0,1.0
1990-08-04 00:01:00,1.0,1.0,1.0,1.0,0.0
1990-09-08 00:01:00,1.0,1.0,1.0,1.0,0.0
1990-09-09 00:01:00,-10.0,0.0,1.0,0.0,1.0
1990-09-26 00:01:00,-10.0,0.0,1.0,0.0,1.0
1990-09-27 00:01:00,1.0,1.0,1.0,1.0,0.0
1990-09-28 00:01:00,1.0,1.0,1.0,0.0,1.0
1990-11-27 00:01:00,1.0,1.0,1.0,0.0,1.0
1990-11-28 00:01:00,1.0,1.0,1.0,1.0,0.0
1990-12-04 00:01:00,1.0,1.0,1.0,1.0,0.0
1990-12-05 00:01:00,1.0,1.0,1.0,0.0,1.0
1991-05-30 00:01:00,1.0,1.0,1.0,0.0,1.0
1991-05-31 00:01:00,1.0,1.0,1.0,1.0,0.0
1991-06-17 00:01:00,1.0,1.0,1.0,1.0,0.0
1991-06-18 00:01:00,-10.0,0.0,1.0,0.0,1.0
1991-08-10 00:01:00,-10.0,0.0,1.0,0.0,1.0
1991-08-11 00:01:00,1.0,1.0,1.0,1.0,0.0
1991-09-08 00:01:00,1.0,1.0,1.0,1.0,0.0
1991-09-09 00:01:00,-10.0,0.0,1.0,0.0,1.0
1991-10-06 00:01:00,-10.0,0.0,1.0,0.0,1.0
1991-10-07 00:01:00,1.0,1.0,1.0,1.0,0.0
1991-10-17 00:01:00,1.0,1.0,1.0,1.0,0.0
1991-10-18 00:01:00,1.0,1.0,1.0,0.0,1.0
1992-02-23 00:01:00,1.0,1.0,1.0,0.0,1.0
1992-02-24 00:01:00,-10.0,0.0,1.0,0.0,1.0
1992-04-07 00:01:00,-10.0,0.0,1.0,0.0,1.0
1992-04-08 00:01:00,1.0,1.0,1.0,0.0,1.0
1992-05-19 00:01:00,1.0,1.0,1.0,0.0,1.0
1992-05-20 00:01:00,-10.0,0.0,1.0,0.0,1.0
1993-01-24 00:01:00,-10.0,0.0,1.0,0.0,1.0
1993-01-25 00:01:00,1.0,1.0,1.0,0.0,1.0
1993-02-22 00:01:00,1.0,1.0,1.0,0.0,1.0
1993-02-23 00:01:00,-10.0,0.0,1.0,0.0,1.0
1993-05-12 00:01:00,-10.0,0.0,1.0,0.0,1.0
1993-05-13 00:01:00,1.0,1.0,1.0,0.0,1.0
1993-05-30 00:01:00,1.0,1.0,1.0,0.0,1.0
1993-05-31 00:01:00,1.0,1.0,1.0,1.0,0.0
1993-09-06 00:01:00,1.0,1.0,1.0,1.0,0.0
1993-09-07 00:01:00,1.0,1.0,1.0,0.0,1.0
1993-11-18 00:01:00,1.0,1.0,1.0,0.0,1.0
1993-11-19 00:01:00,-10.0,0.0,1.0,0.0,1.0
1994-01-21 00:01:00,-10.0,0.0,1.0,0.0,1.0
1994-01-22 00:01:00,1.0,1.0,1.0,0.0,1.0
1994-02-12 00:01:00,1.0,1.0,1.0,0.0,1.0
1994-02-13 00:01:00,-10.0,0.0,1.0,0.0,1.0
1994-12-01 00:01:00,-10.0,0.0,1.0,0.0,1.0
1994-12-02 00:01:00,1.0,1.0,1.0,0.0,1.0
1994-12-09 00:01:00,1.0,1.0,1.0,0.0,1.0
1994-12-10 00:01:00,-10.0,0.0,1.0,0.0,1.0
1995-01-14 00:01:00,-10.0,0.0,1.0,0.0,1.0
1995-01-15 00:01:00,1.0,1.0,1.0,0.0,1.0
1995-02-07 00:01:00,1.0,1.0,1.0,0.0,1.0
1995-02-08 00:01:00,1.0,1.0,1.0,1.0,0.0
1995-03-19 00:01:00,1.0,1.0,1.0,1.0,0.0
1995-03-20 00:01:00,-10.0,0.0,1.0,0.0,1.0
1995-09-28 00:01:00,-10.0,0.0,1.0,0.0,1.0
1995-09-29 00:01:00,1.0,1.0,1.0,1.0,0.0
1996-07-09 00:01:00,1.0,1.0,1.0,1.0,0.0
1996-07-10 00:01:00,-10.0,0.0,1.0,0.0,1.0
1996-10-03 00:01:00,-10.0,0.0,1.0,0.0,1.0
1996-10-04 00:01:00,1.0,1.0,1.0,1.0,0.0
1996-10-29 00:01:00,1.0,1.0,1.0,1.0,0.0
1996-10-30 00:01:00,-10.0,0.0,1.0,0.0,1.0
1996-12-20 00:01:00,-10.0,0.0,1.0,0.0,1.0
1996-12-21 00:01:00,1.0,1.0,1.0,0.0,1.0
1997-02-02 00:01:00,1.0,1.0,1.0,0.0,1.0
1997-02-03 00:01:00,1.0,1.0,1.0,1.0,0.0
1997-08-22 00:01:00,1.0,1.0,1.0,1.0,0.0
1997-08-23 00:01:00,-10.0,0.0,1.0,0.0,1.0
1997-08-24 00:01:00,-10.0,0.0,1.0,0.0,1.0
1997-08-25 00:01:00,1.0,1.0,1.0,1.0,0.0
1997-10-13 00:01:00,1.0,1.0,1.0,1.0,0.0
1997-10-14 00:01:00,1.0,1.0,1.0,0.0,1.0
1997-12-19 00:01:00,1.0,1.0,1.0,0.0,1.0
1997-12-20 00:01:00,-10.0,0.0,1.0,0.0,1.0
1998-04-07 00:01:00,-10.0,0.0,1.0,0.0,1.0
1998-04-08 00:01:00,1.0,1.0,1.0,1.0,0.0
1998-06-29 00:01:00,1.0,1.0,1.0,1.0,0.0
1998-06-30 00:01:00,-10.0,0.0,1.0,0.0,1.0
1998-09-15 00:01:00,-10.0,0.0,1.0,0.0,1.0
1998-09-16 00:01:00,1.0,1.0,1.0,1.0,0.0
1998-09-27 00:01:00,1.0,1.0,1.0,1.0,0.0
1998-09-28 00:01:00,1.0,1.0,1.0,0.0,1.0
1998-10-07 00:01:00,1.0,1.0,1.0,0.0,1.0
1998-10-08 00:01:00,-10.0,0.0,1.0,0.0,1.0
1998-11-18 00:01:00,-10.0,0.0,1.0,0.0,1.0
1998-11-19 00:01:00,1.0,1.0,1.0,0.0,1.0
1998-12-04 00:01:00,1.0,1.0,1.0,0.0,1.0
1998-12-05 00:01:00,-10.0,0.0,1.0,0.0,1.0
1999-08-29 00:01:00,-10.0,0.0,1.0,0.0,1.0
1999-08-30 00:01:00,1.0,1.0,1.0,1.0,0.0
1999-08-31 00:01:00,1.0,1.0,1.0,1.0,0.0
1999-09-01 00:01:00,1.0,1.0,1.0,0.0,1.0
1999-09-05 00:01:00,1.0,1.0,1.0,0.0,1.0
1999-09-06 00:01:00,-10.0,0.0,1.0,0.0,1.0
1999-11-20 00:01:00,-10.0,0.0,1.0,0.0,1.0
1999-11-21 00:01:00,1.0,1.0,1.0,0.0,1.0
2000-03-27 00:01:00,1.0,1.0,1.0,0.0,1.0
2000-03-28 00:01:00,1.0,1.0,1.0,1.0,0.0
2000-03-29 00:01:00,1.0,1.0,1.0,1.0,0.0
2000-03-30 00:01:00,-10.0,0.0,1.0,0.0,1.0
2000-04-19 00:01:00,-10.0,0.0,1.0,0.0,1.0
2000-04-20 00:01:00,1.0,1.0,1.0,1.0,0.0
2000-04-28 00:01:00,1.0,1.0,1.0,1.0,0.0
2000-04-29 00:01:00,-10.0,0.0,1.0,0.0,1.0
2000-11-17 00:01:00,-10.0,0.0,1.0,0.0,1.0
2000-11-18 00:01:00,1.0,1.0,1.0,0.0,1.0
2001-01-15 00:01:00,1.0,1.0,1.0,0.0,1.0
2001-01-16 00:01:00,-10.0,0.0,1.0,0.0,1.0
2001-01-25 00:01:00,-10.0,0.0,1.0,0.0,1.0
2001-01-26 00:01:00,1.0,1.0,1.0,0.0,1.0
2001-05-13 00:01:00,1.0,1.0,1.0,0.0,1.0
2001-05-14 00:01:00,1.0,1.0,1.0,1.0,0.0
2001-06-10 00:01:00,1.0,1.0,1.0,1.0,0.0
2001-06-11 00:01:00,-10.0,0.0,1.0,0.0,1.0
2001-06-13 00:01:00,-10.0,0.0,1.0,0.0,1.0
2001-06-14 00:01:00,1.0,1.0,1.0,1.0,0.0
2001-08-09 00:01:00,1.0,1.0,1.0,1.0,0.0
2001-08-10 00:01:00,-10.0,0.0,1.0,0.0,1.0
2002-01-25 00:01:00,-10.0,0.0,1.0,0.0,1.0
2002-01-26 00:01:00,1.0,1.0,1.0,0.0,1.0
2002-03-07 00:01:00,1.0,1.0,1.0,0.0,1.0
2002-03-08 00:01:00,-10.0,0.0,1.0,0.0,1.0
2002-03-28 00:01:00,-10.0,0.0,1.0,0.0,1.0
2002-03-29 00:01:00,1.0,1.0,1.0,0.0,1.0
2002-05-05 00:01:00,1.0,1.0,1.0,0.0,1.0
2002-05-06 00:01:00,1.0,1.0,1.0,1.0,0.0
2002-09-23 00:01:00,1.0,1.0,1.0,1.0,0.0
2002-09-24 00:01:00,1.0,1.0,1.0,0.0,1.0
2002-10-08 00:01:00,1.0,1.0,1.0,0.0,1.0
2002-10-09 00:01:00,1.0,1.0,1.0,1.0,0.0
2002-10-22 00:01:00,1.0,1.0,1.0,1.0,0.0
2002-10-23 00:01:00,1.0,1.0,1.0,0.0,1.0
2003-05-15 00:01:00,1.0,1.0,1.0,0.0,1.0
2003-05-16 00:01:00,1.0,1.0,1.0,1.0,0.0
2003-09-27 00:01:00,1.0,1.0,1.0,1.0,0.0
2003-09-28 00:01:00,1.0,1.0,1.0,0.0,1.0
2003-10-28 00:01:00,1.0,1.0,1.0,0.0,1.0
2003-10-29 00:01:00,1.0,1.0,1.0,1.0,0.0
2003-11-11 00:01:00,1.0,1.0,1.0,1.0,0.0
2003-11-12 00:01:00,1.0,1.0,1.0,0.0,1.0
2003-12-12 00:01:00,1.0,1.0,1.0,0.0,1.0
2003-12-13 00:01:00,-10.0,0.0,1.0,0.0,1.0
2004-03-17 00:01:00,-10.0,0.0,1.0,0.0,1.0
2004-03-18 00:01:00,1.0,1.0,1.0,0.0,1.0
2004-05-12 00:01:00,1.0,1.0,1.0,0.0,1.0
2004-05-13 00:01:00,1.0,1.0,1.0,1.0,0.0
2004-10-11 00:01:00,1.0,1.0,1.0,1.0,0.0
2004-10-12 00:01:00,1.0,1.0,1.0,0.0,1.0
2005-05-19 00:01:00,1.0,1.0,1.0,0.0,1.0
2005-05-20 00:01:00,1.0,1.0,1.0,1.0,0.0
2005-08-15 00:01:00,1.0,1.0,1.0,1.0,0.0
2005-08-16 00:01:00,-10.0,0.0,1.0,0.0,1.0
2005-10-07 00:01:00,-10.0,0.0,1.0,0.0,1.0
2005-10-08 00:01:00,1.0,1.0,1.0,1.0,0.0
2005-11-08 00:01:00,1.0,1.0,1.0,1.0,0.0
2005-11-09 00:01:00,1.0,1.0,1.0,0.0,1.0
2006-01-05 00:01:00,1.0,1.0,1.0,0.0,1.0
2006-01-06 00:01:00,1.0,1.0,1.0,1.0,0.0
2006-04-04 00:01:00,1.0,1.0,1.0,1.0,0.0
2006-04-05 00:01:00,-10.0,0.0,1.0,0.0,1.0
2006-05-08 00:01:00,-10.0,0.0,1.0,0.0,1.0
2006-05-09 00:01:00,1.0,1.0,1.0,1.0,0.0
2006-09-04 00:01:00,1.0,1.0,1.0,1.0,0.0
2006-09-05 00:01:00,-10.0,0.0,1.0,0.0,1.0
2007-02-23 00:01:00,-10.0,0.0,1.0,0.0,1.0
2007-02-24 00:01:00,1.0,1.0,1.0,0.0,1.0
2007-04-22 00:01:00,1.0,1.0,1.0,0.0,1.0
2007-04-23 00:01:00,1.0,1.0,1.0,1.0,0.0
2007-09-14 00:01:00,1.0,1.0,1.0,1.0,0.0
2007-09-15 00:01:00,-10.0,0.0,1.0,0.0,1.0
2008-01-29 00:01:00,-10.0,0.0,1.0,0.0,1.0
2008-01-30 00:01:00,1.0,1.0,1.0,0.0,1.0
2008-04-29 00:01:00,1.0,1.0,1.0,0.0,1.0
2008-04-30 00:01:00,1.0,1.0,1.0,1.0,0.0
2008-09-20 00:01:00,1.0,1.0,1.0,1.0,0.0
2008-09-21 00:01:00,-10.0,0.0,1.0,0.0,1.0
2008-12-11 00:01:00,-10.0,0.0,1.0,0.0,1.0
2008-12-12 00:01:00,1.0,1.0,1.0,0.0,1.0
2009-02-25 00:01:00,1.0,1.0,1.0,0.0,1.0
2009-02-26 00:01:00,-10.0,0.0,1.0,0.0,1.0
2009-11-28 00:01:00,-10.0,0.0,1.0,0.0,1.0
2009-11-29 00:01:00,1.0,1.0,1.0,0.0,1.0
2010-04-25 00:01:00,1.0,1.0,1.0,0.0,1.0
2010-04-26 00:01:00,1.0,1.0,1.0,1.0,0.0
2010-05-17 00:01:00,1.0,1.0,1.0,1.0,0.0
2010-05-18 00:01:00,-10.0,0.0,1.0,0.0,1.0
2012-03-17 00:01:00,-10.0,0.0,1.0,0.0,1.0
2012-03-18 00:01:00,1.0,1.0,1.0,0.0,1.0
2012-04-30 00:01:00,1.0,1.0,1.0,0.0,1.0
2012-05-01 00:01:00,1.0,1.0,1.0,1.0,0.0
2012-10-08 00:01:00,1.0,1.0,1.0,1.0,0.0
2012-10-09 00:01:00,1.0,1.0,1.0,0.0,1.0
2013-05-29 00:01:00,1.0,1.0,1.0,0.0,1.0
2013-05-30 00:01:00,1.0,1.0,1.0,1.0,0.0
2013-10-10 00:01:00,1.0,1.0,1.0,1.0,0.0
2013-10-11 00:01:00,1.0,1.0,1.0,0.0,1.0
2013-10-26 00:01:00,1.0,1.0,1.0,0.0,1.0
2013-10-27 00:01:00,-10.0,0.0,1.0,0.0,1.0
2013-12-13 00:01:00,-10.0,0.0,1.0,0.0,1.0
2013-12-14 00:01:00,1.0,1.0,1.0,0.0,1.0
2014-03-06 00:01:00,1.0,1.0,1.0,0.0,1.0
2014-03-07 00:01:00,-10.0,0.0,1.0,0.0,1.0
2014-12-14 00:01:00,-10.0,0.0,1.0,0.0,1.0
2014-12-15 00:01:00,1.0,1.0,1.0,1.0,0.0
2014-12-30 00:01:00,1.0,1.0,1.0,1.0,0.0
2014-12-31 00:01:00,1.0,1.0,1.0,0.0,1.0
2015-02-23 00:01:00,1.0,1.0,1.0,0.0,1.0
2015-02-24 00:01:00,-10.0,0.0,1.0,0.0,1.0
2015-05-29 00:01:00,-10.0,0.0,1.0,0.0,1.0
2015-05-30 00:01:00,1.0,1.0,1.0,0.0,1.0
2015-06-02 00:01:00,1.0,1.0,1.0,0.0,1.0
2015-06-03 00:01:00,1.0,1.0,1.0,1.0,0.0
2015-06-22 00:01:00,1.0,1.0,1.0,1.0,0.0
2015-06-23 00:01:00,-10.0,0.0,1.0,0.0,1.0
2015-07-31 00:01:00,-10.0,0.0,1.0,0.0,1.0
2015-08-01 00:01:00,1.0,1.0,1.0,1.0,0.0
2015-08-02 00:01:00,1.0,1.0,1.0,1.0,0.0
2015-08-03 00:01:00,-10.0,0.0,1.0,0.0,1.0
2015-12-20 00:01:00,-10.0,0.0,1.0,0.0,1.0
2015-12-21 00:01:00,1.0,1.0,1.0,0.0,1.0
2016-05-14 00:01:00,1.0,1.0,1.0,0.0,1.0
2016-05-15 00:01:00,-10.0,0.0,1.0,0.0,1.0
2016-08-13 00:01:00,-10.0,0.0,1.0,0.0,1.0
2016-08-14 00:01:00,1.0,1.0,1.0,1.0,0.0
2016-09-28 00:01:00,1.0,1.0,1.0,1.0,0.0
2016-09-29 00:01:00,-10.0,0.0,1.0,0.0,1.0
2017-04-26 00:01:00,-10.0,0.0,1.0,0.0,1.0
2017-04-27 00:01:00,1.0,1.0,1.0,0.0,1.0
2017-05-12 00:01:00,1.0,1.0,1.0,0.0,1.0
2017-05-13 00:01:00,1.0,1.0,1.0,1.0,0.0
2017-11-21 00:01:00,1.0,1.0,1.0,1.0,0.0
2017-11-22 00:01:00,1.0,1.0,1.0,0.0,1.0
2018-03-08 00:01:00,1.0,1.0,1.0,0.0,1.0
2018-03-09 00:01:00,-10.0,0.0,1.0,0.0,1.0
2018-07-21 00:01:00,-10.0,0.0,1.0,0.0,1.0
2018-07-22 00:01:00,1.0,1.0,1.0,1.0,0.0
2018-07-27 00:01:00,1.0,1.0,1.0,1.0,0.0
2018-07-28 00:01:00,1.0,1.0,1.0,0.0,1.0
2018-09-01 00:01:00,1.0,1.0,1.0,0.0,1.0
2018-09-02 00:01:00,-10.0,0.0,1.0,0.0,1.0
2018-09-13 00:01:00,-10.0,0.0,1.0,0.0,1.0
2018-09-14 00:01:00,1.0,1.0,1.0,0.0,1.0
2018-12-01 00:01:00,1.0,1.0,1.0,0.0,1.0
2018-12-02 00:01:00,-10.0,0.0,1.0,0.0,1.0
2019-05-15 00:01:00,-10.0,0.0,1.0,0.0,1.0
2019-05-16 00:01:00,1.0,1.0,1.0,1.0,0.0
