FID	Shape	site	stype
71	Point	delta_src_85	source
72	Point	delta_src_86	source
73	Point	delta_src_89	source
74	Point	delta_src_91	source
75	Point	delta_src_92	source
76	Point	delta_src_93	source
77	Point	delta_src_98	source
78	Point	delta_src_100	source
157	Point	delta_src_199	source
158	Point	delta_src_200	source
159	Point	delta_src_201	source
160	Point	delta_src_202	source
161	Point	delta_src_203	source
162	Point	delta_src_204	source
163	Point	delta_src_205	source
164	Point	delta_src_206	source
169	Point	delta_src_213	source
170	Point	delta_src_215	source
172	Point	delta_src_222	source
402	Point	delta_sink_85	sink
403	Point	delta_sink_86	sink
404	Point	delta_sink_89	sink
405	Point	delta_sink_91	sink
406	Point	delta_sink_92	sink
407	Point	delta_sink_93	sink
408	Point	delta_sink_98	sink
409	Point	delta_sink_100	sink
488	Point	delta_sink_199	sink
489	Point	delta_sink_200	sink
490	Point	delta_sink_201	sink
491	Point	delta_sink_202	sink
492	Point	delta_sink_203	sink
493	Point	delta_sink_204	sink
494	Point	delta_sink_205	sink
495	Point	delta_sink_206	sink
500	Point	delta_sink_213	sink
501	Point	delta_sink_215	sink
503	Point	delta_sink_222	sink
